sample	number	mean_CD	mean_GQ	mean_MRR
S0156	449	13.71	40.11	0.01
S0160	369	10.3	31.24	0
S0170	346	10.84	31.79	0.01
S0172	347	10.07	30.69	0
S0225	362	13.56	39.21	0.01
S0229	357	12.08	36.87	0
S0237	377	12.57	37.01	0.01
S0243	389	12.05	35.99	0.01
S0258	371	10.59	32.12	0.01
S0267	360	9.78	29.4	0
S0269	371	10.74	32.16	0.01
S0280	392	13.07	39.52	0
S0287	428	11.38	34.55	0
S0290	414	14.83	43.29	0.01
S0306	369	12.59	37.65	0
S0307	392	9.91	29.84	0.01
S0322	455	11.62	34.67	0.01
S0325	384	10.32	31.65	0
S0330	427	12.33	36.6	0.01
S0347	362	15.3	45.23	0.01
S0349	397	11.79	35.58	0.01
S0376	384	10.71	32.51	0
S0400	394	14.61	43.31	0
S0404	376	9.64	29.27	0.01
S0406	376	12.87	38.7	0
S0416	367	10.68	32.47	0
S0428	362	10.7	32.49	0
S0437	356	13.52	41.44	0
S0439	370	9.9	30.28	0
S0445	408	14	41.11	0.01
S0466	406	12.84	38.84	0
S0469	343	14.4	41.74	0.01
S0490	415	10.42	31.08	0.01
S0492	402	15.37	44.68	0.01
S0494	397	12.16	36.83	0
S0497	420	16.91	49.8	0
S0552	455	14.4	42.91	0.01
S0620	398	15.37	45.57	0.01
S0631	451	15.42	45.42	0
S0650	396	10.34	31.07	0
S0653	365	8.98	27.33	0
S0659	405	9.47	28.74	0
S0671	435	14.15	42.31	0
S0682	428	18.19	52.04	0.01
S0693	432	9.28	28.28	0
S0732	427	13.53	40.07	0.01
S0761	412	12.94	38.27	0
S0791	438	10.21	31.05	0
S0812	388	12.13	36.45	0
S0837	409	9.88	29.7	0.01
S0867	414	13.73	40.77	0.01
S0935	400	18.92	54.71	0
S0940	431	11.68	35.03	0
S0944	348	13.2	39.37	0.01
S0947	419	12.41	37.28	0
S0956	403	14.36	42.79	0
S0958	401	12.21	36.2	0.01
S1003	357	11.1	33.22	0.01
S1041	370	12.67	37.27	0.01
S1054	390	16.03	46.55	0
S1071	413	12.57	37.54	0.01
S1109	472	14.67	43.55	0
S1123	468	14.21	42.52	0
S1132	286	9.19	28.02	0.01
S1156	338	9.2	28	0.01
S1168	351	13.52	40.42	0.01
S1169	379	11.83	36.3	0
S1193	352	13.79	41.2	0.01
S1205	339	12.18	36.54	0
S1208	332	14.46	42.38	0.01
S1211	370	14.64	44.1	0
S1214	321	12.32	37.14	0
S1217	333	11.08	33.38	0
S1218	348	9.98	30.2	0
S1219	354	10.99	32.15	0.01
S1220	365	11.12	33.54	0
S1228	394	12.84	38.68	0
S1231	455	14.84	44.23	0
S1232	411	13.36	40.23	0
S1240	342	10.5	31.88	0
S1254	341	9.28	27.74	0.01
S1259	330	10.4	31.2	0.01
S1273	355	12.53	37.36	0
S1292	457	10.82	32.66	0
S1319	380	12.28	36.71	0
S1327	427	12.72	37.93	0
S1361	403	13.74	40.74	0
S1364	426	13.9	41.89	0
S1366	335	10.41	31.56	0
S1368	387	9.92	30.01	0
S1374	446	10.34	31.15	0
S1424	360	11.08	33.16	0
S1448	396	12.64	38.21	0
S1494	492	14.98	44.4	0
S1503	429	13.71	40.91	0
S1536	399	11.11	33.37	0
